r [A]	U [eV]
7,4	-0,002457015
7,41	-0,002425289
7,42	-0,002393972
7,43	-0,002363059
7,44	-0,002332545
7,45	-0,002302425
7,46	-0,002272694
7,47	-0,002243347
7,48	-0,002214378
7,49	-0,002185784
7,5	-0,002157559
7,51	-0,002129698
7,52	-0,002102197
7,53	-0,002075051
7,54	-0,002048255
7,55	-0,002021806
7,56	-0,001995697
7,57	-0,001969926
7,58	-0,001944488
7,59	-0,001919378
7,6	-0,001894592
7,61	-0,001870127
7,62	-0,001845977
7,63	-0,001822139
7,64	-0,001798608
7,65	-0,001775382
7,66	-0,001752455
7,67	-0,001729825
7,68	-0,001707486
7,69	-0,001685437
7,7	-0,001663671
7,71	-0,001642187
7,72	-0,00162098
7,73	-0,001600047
7,74	-0,001579385
7,75	-0,001558989
7,76	-0,001538856
7,77	-0,001518983
7,78	-0,001499367
7,79	-0,001480005
7,8	-0,001460892
7,81	-0,001442026
7,82	-0,001423403
7,83	-0,001405022
7,84	-0,001386877
7,85	-0,001368967
7,86	-0,001351288
7,87	-0,001333837
7,88	-0,001316612
7,89	-0,001299609
7,9	-0,001282825
7,91	-0,001266259
7,92	-0,001249906
7,93	-0,001233764
7,94	-0,001217831
7,95	-0,001202104
7,96	-0,001186579
7,97	-0,001171255
7,98	-0,001156129
7,99	-0,001141199
8	-0,001126461
8,01	-0,001111913
8,02	-0,001097553
8,03	-0,001083379
8,04	-0,001069388
8,05	-0,001055577
8,06	-0,001041945
8,07	-0,001028489
8,08	-0,001015206
8,09	-0,001002095
8,1	-0,000989154
8,11	-0,000976379
8,12	-0,000963769
8,13	-0,000951323
8,14	-0,000939037
8,15	-0,000926909
8,16	-0,000914939
8,17	-0,000903122
8,18	-0,000891459
8,19	-0,000879946
8,2	-0,000868582
8,21	-0,000857364
8,22	-0,000846291
8,23	-0,000835362
8,24	-0,000824573
8,25	-0,000813924
8,26	-0,000803412
8,27	-0,000793036
8,28	-0,000782794
8,29	-0,000772685
8,3	-0,000762706
8,31	-0,000752855
8,32	-0,000743132
8,33	-0,000733535
8,34	-0,000724061
8,35	-0,00071471
8,36	-0,00070548
8,37	-0,000696368
8,38	-0,000687375
8,39	-0,000678497
8,4	-0,000669735
8,41	-0,000661085
8,42	-0,000652547
8,43	-0,000644119
8,44	-0,000635801
8,45	-0,000627589
8,46	-0,000619484
8,47	-0,000611483
8,48	-0,000603586
8,49	-0,00059579
8,5	-0,000588096
8,51	-0,0005805
8,52	-0,000573003
8,53	-0,000565603
8,54	-0,000558298
8,55	-0,000551087
8,56	-0,00054397
8,57	-0,000536945
8,58	-0,00053001
8,59	-0,000523165
8,6	-0,000516408
8,61	-0,000509738
8,62	-0,000503155
8,63	-0,000496657
8,64	-0,000490242
8,65	-0,000483911
8,66	-0,000477661
8,67	-0,000471492
8,68	-0,000465402
8,69	-0,000459391
8,7	-0,000453458
8,71	-0,000447602
8,72	-0,000441821
8,73	-0,000436115
8,74	-0,000430482
8,75	-0,000424922
8,76	-0,000419434
8,77	-0,000414017
8,78	-0,00040867
8,79	-0,000403392
8,8	-0,000398182
8,81	-0,000393039
8,82	-0,000387963
8,83	-0,000382952
8,84	-0,000378006
8,85	-0,000373124
8,86	-0,000368305
8,87	-0,000363548
8,88	-0,000358853
8,89	-0,000354218
8,9	-0,000349643
8,91	-0,000345128
8,92	-0,00034067
8,93	-0,00033627
8,94	-0,000331927
8,95	-0,00032764
8,96	-0,000323408
8,97	-0,000319232
8,98	-0,000315108
8,99	-0,000311039
9	-0,000307021
9,01	-0,000303056
9,02	-0,000299142
9,03	-0,000295278
9,04	-0,000291465
9,05	-0,0002877
9,06	-0,000283985
9,07	-0,000280317
9,08	-0,000276696
9,09	-0,000273123
9,1	-0,000269595
9,11	-0,000266113
9,12	-0,000262676
9,13	-0,000259284
9,14	-0,000255935
9,15	-0,000252629
9,16	-0,000249366
9,17	-0,000246146
9,18	-0,000242967
9,19	-0,000239829
9,2	-0,000236731
9,21	-0,000233674
9,22	-0,000230656
9,23	-0,000227676
9,24	-0,000224736
9,25	-0,000221833
9,26	-0,000218968
9,27	-0,00021614
9,28	-0,000213349
9,29	-0,000210593
9,3	-0,000207873
9,31	-0,000205188
9,32	-0,000202538
9,33	-0,000199922
9,34	-0,00019734
9,35	-0,000194791
9,36	-0,000192276
9,37	-0,000189792
9,38	-0,000187341
9,39	-0,000184921
9,4	-0,000182533
9,41	-0,000180175
9,42	-0,000177848
9,43	-0,000175551
9,44	-0,000173284
9,45	-0,000171046
9,46	-0,000168837
9,47	-0,000166656
9,48	-0,000164504
9,49	-0,000162379
9,5	-0,000160282
9,51	-0,000158211
9,52	-0,000156168
9,53	-0,000154151
9,54	-0,00015216
9,55	-0,000150195
9,56	-0,000148255
9,57	-0,00014634
9,58	-0,00014445
9,59	-0,000142584
9,6	-0,000140743
9,61	-0,000138925
9,62	-0,000137131
9,63	-0,00013536
9,64	-0,000133611
9,65	-0,000131886
9,66	-0,000130182
9,67	-0,000128501
9,68	-0,000126841
9,69	-0,000125203
9,7	-0,000123586
9,71	-0,00012199
9,72	-0,000120414
9,73	-0,000118859
9,74	-0,000117324
9,75	-0,000115808
9,76	-0,000114313
9,77	-0,000112836
9,78	-0,000111379
9,79	-0,00010994
9,8	-0,00010852
9,81	-0,000107119
9,82	-0,000105735
9,83	-0,00010437
9,84	-0,000103022
9,85	-0,000101691
9,86	-0,000100378
9,87	-9,90811E-05
9,88	-9,78014E-05
9,89	-9,65382E-05
9,9	-9,52913E-05
9,91	-9,40606E-05
9,92	-9,28457E-05
9,93	-9,16465E-05
9,94	-9,04629E-05
9,95	-8,92945E-05
9,96	-8,81412E-05
9,97	-8,70028E-05
9,98	-8,5879E-05
9,99	-8,47699E-05
10	-8,3675E-05
10,01	-8,25943E-05
10,02	-8,15275E-05
10,03	-8,04745E-05
10,04	-7,94351E-05
10,05	-7,84091E-05
10,06	-7,73964E-05
10,07	-7,63968E-05
10,08	-7,54101E-05
10,09	-7,44361E-05
10,1	-7,34747E-05
10,11	-7,25257E-05
10,12	-7,1589E-05
10,13	-7,06644E-05
10,14	-6,97517E-05
10,15	-6,88508E-05
10,16	-6,79615E-05
10,17	-6,70837E-05
10,18	-6,62173E-05
10,19	-6,53621E-05
10,2	-6,45179E-05
10,21	-6,36846E-05
10,22	-6,2862E-05
10,23	-6,20501E-05
10,24	-6,12487E-05
10,25	-6,04576E-05
10,26	-5,96768E-05
10,27	-5,8906E-05
10,28	-5,81452E-05
10,29	-5,73942E-05
10,3	-5,66529E-05
10,31	-5,59212E-05
10,32	-5,51989E-05
10,33	-5,4486E-05
10,34	-5,37822E-05
10,35	-5,30876E-05
10,36	-5,24019E-05
10,37	-5,17251E-05
10,38	-5,1057E-05
10,39	-5,03976E-05
10,4	-4,97467E-05
10,41	-4,91042E-05
10,42	-4,84699E-05
10,43	-4,78439E-05
10,44	-4,7226E-05
10,45	-4,6616E-05
10,46	-4,60139E-05
10,47	-4,54196E-05
10,48	-4,4833E-05
10,49	-4,42539E-05
10,5	-4,36823E-05
10,51	-4,31182E-05
10,52	-4,25612E-05
10,53	-4,20115E-05
10,54	-4,14689E-05
10,55	-4,09333E-05
10,56	-4,04046E-05
10,57	-3,98828E-05
10,58	-3,93677E-05
10,59	-3,88592E-05
10,6	-3,83573E-05
10,61	-3,78619E-05
10,62	-3,73729E-05
10,63	-3,68902E-05
10,64	-3,64137E-05
10,65	-3,59434E-05
10,66	-3,54791E-05
10,67	-3,50209E-05
10,68	-3,45686E-05
10,69	-3,41221E-05
10,7	-3,36814E-05
10,71	-3,32464E-05
10,72	-3,2817E-05
10,73	-3,23931E-05
10,74	-3,19747E-05
10,75	-3,15617E-05
10,76	-3,11541E-05
10,77	-3,07517E-05
10,78	-3,03545E-05
10,79	-2,99625E-05
10,8	-2,95755E-05
10,81	-2,91935E-05
10,82	-2,88164E-05
10,83	-2,84442E-05
10,84	-2,80769E-05
10,85	-2,77142E-05
10,86	-2,73563E-05
10,87	-2,70029E-05
10,88	-2,66542E-05
10,89	-2,63099E-05
10,9	-2,59701E-05
10,91	-2,56347E-05
10,92	-2,53036E-05
10,93	-2,49768E-05
10,94	-2,46542E-05
10,95	-2,43357E-05
10,96	-2,40214E-05
10,97	-2,37112E-05
10,98	-2,34049E-05
10,99	-2,31026E-05
